표준단어명	영문약어명
목표제방빙장진출시간	TDOT
목표주기장출발시간	TOBT
목표푸시백승인시간	TSAT
무료	NCHRG
무수하물	NBAG
무이자	ZINT
무임	FREE
무형	ITN
묶음	BNDL
문서	DOC
문자	LTR
문자서비스	TMSVC
문장	SNTENC
문제	PRBLM
문제점	PBPT
문항	QITEM
문화재	CLTPTY
물가지수	PRIDX
물건	THING
물고임	WTRCL
물리	PHYS
물품	CMDTY
미국국적	AMNTN
미군	USAMY
미납	UNPAID
미리보기	PRVW
미사용	UNUSD
미상환	NRPY
미선정	NSLCT
미세먼지	FNDST
미수	UCLT
미수납	NRCP
미승인	UNAPRV
미완료	INCPL
미적용	NAPLY
미주	AMRCA
미지급	OTSPY
미처리	UNPRCS
미터	METER
민원	CVLCPT
민원인	CVLPR
바	BAR
바람	WIND
반기	SSN
반납	RTN
반려	RJCT
반복	REPT
반송	SNDBK
반영	RFLT
반응	REACT
반입	CRYN
반지름	RAD
반출	SHPGOT
반출입	TKINOUT
반환	GVBK
발간	PBLS
발견	DSCV
발급	ISSU
발급자	ISPR
발령	APNT
발명자	INVTR
발병	ONST
발생	OCRN
발생시	HROCS
발송	SNDNG
발송자	SNDR
발신	DSPTCH
발신자	SNDPTY
발의	PRPSL
발전소	PWPL
발표	PRSNTN
발행	PBLCN
발행자	ISR
방문	VST
방문자	VSTR
방법	MTHD
방안	MSRS
방향	DIR
배기량	DSVLM
배너	BNR
배달처	DLDTN
배당	ALCTN
배당금	DVDND
배당요구	DVDMND
배부	HNDT
배분	APRT
배상	RPN
배송	DLVR
배송지	DLVRPL
배수로	DRNG
배열	ARRNG
배우자	SPS
배점	SCOR
배정	ALTMNT
배차	ALCAR
배출	EHST
배치	BTCH
배포	CRLTN
배풍	TAIL
백만원미만	LTNML
백만원이상	OVRML
백업	BKUP
백택	BTAG
밴등록택시	VNRTX
버스	BUS
버전	VER
버튼	BTN
번호	NO
범위	RANGE
범주	CTGRY
법	LAW
법규	LWRG
법령	STT
법무사	JDSCR
법원	CT
법인	CORP
법인등록번호	CRNO
법인세	COTX
법정	STTY
법정동	STDG
법정리	STLI
벤처기업	VENT
벨트	BELT
변경	CHG
변경자	CHNRG
변동	FLCTN
변수	VRBL
변호사	LWYR
변화	TNIT
변환	TRSF
별칭	NCM
병가	SKLV
병상	SCKBD
병원	HSPTL
보건소	PHC
보고	RPT
보고서	RPTP
보고자	RPTR
보기	EXMPL
보도	NSCVRG
보류	HLDOF
보상	CMPN
보안	SCRTY
보안검색	SCSH
보완	SPLMNT
보유	HLD
보전	PRSRV
보정	CRCT
보조	ASST
보조석	SPRSEAT
보증	GRNTE
보증금	SCTDP
보증료	GRFE
보증료율	GRNRT
보증서	WTGR
보증인	GRNR
보행자	PDST
보험	INSRNC
보험료	ISPM
보험료율	PMRT
보호	PRTC
보호자	PRTCR
보훈	RWDPTR
복구	RSTR
복귀	SGACB
복직	RINST
복합	CPX
본문	MTXT
본번	MNO
본번지	MHSNM
본부	HQ
본사	HDOFC
본인	ONSLF
본점	MNBR
부가가치세	VAT
부가가치세율	VATRT
부과	LEVY
부담	BRDN
부대	SBSD
부대시설면적	SFAR
부도	ISVC
부동산	REST
부모	PRNT
부문	SECT
부번	SNO
부번지	SHSNM
부분	PART
부산항	KRPUS
부상	INJR
부상자	INJPSN
부서	DEPT
부서장	DH
부속	ANX
부양	SPT
부여	GRNT
부외자산	NLAST
부위	REGN
부임	ACSN
부재	ABSN
부적격	INDQ
부적합	ICPT
부정기	IRR
부제목	SBTTL
부지면적	PLTAR
부채	LBLT
부처	MAO
부품	PRTS
북쪽	NRTH
분	MNT
분납	ISPY
분단위	PRMNS
분당	PRMI
분류	CLSF
분리	SPRTN
분산	DS
분석	ANLS
분실	LOST
분야	FLD
분양	LTOT
분양가	LTOTPR
분양면적	LTOTAR
분포	DSTB
분할	PRTTN
불가	IMPS
불납결손	LSNPY
불량	BAD
불용	DUSE
불인정	NRCG
불일치	NCNSN
불출	RELS
불합격	FAL
뷰	VIEW
브라우저	BRWSR
블록	BLCK
비고	RMRK
비공개	PRVT
비과세	TXFR
비교	COMP
비동력	NONMTR
비목	ITMEXP
비밀번호	PSWD
비상용	EUSE
비용	CST
비운항	NFLT
비유동부채	NCLBL
비유동자산	NCAST
비율	RT
비정규	IRGLR
비정상	ABN
비즈니스클래스	BIZCLSS
비행	FLYNG
비행계획서	FPL
빈곤퇴치기금	ATSLV
빈도	FREQ
사건	INCDNT
사고	ACDNT
사례	CASE
사망	DTH
사망자	DCSD
사무실	OFC
사무직	OFJB
사실	FACT
사업	BIZ
사업권	BSRGT
사업면적	BZAR
사업비	PJTCO
사업자	BZMN
사업자등록번호	BRNO
사업장	BPLC
사업장면적	BZSTAR
사업체	BZENT
사용	USE
사용량	USQTY
사용료	USFEE
사용률	USGRT
사용자	USER
사용처	PLCUS
사원번호	EPIDN
사유	RSN
사이트	SITE
사전	BFHD
사진	PHOTO
사체	CRPS
사항	MTTR
사회적기업	SCENT
사후	EPFC
삭제	DEL
삭제자	DLTR
산	MTN
산번지	MLNO
산업	INDST
산재	IA
산정	CMPTTN
산출	CALC
살수	WTSPKL
상각	AMTZ
상계	STFF
상단	TOP
상담	DSCSN
상담원	CNSLR
상대	RLT
상번	DDUTY
상번자	DDUTYEMP
상세	DTL
상세주소	DADDR
상소	APLH
상소인	APLNT
상속인	IHTR
상수도	WTSPL
상시	ODTM
상실	LOSE
상업시설	CMLFT
상여금	BONUS
상용	CMNUS
상위	UP
상장	LSTG
상태	STTS
상표	TDMK
상품	GDS
상한	UPLMT
상향	UPW
상호	CONM
상환	RPMT
상황	STTN
상훈	PZDC
새창	NPAG
색상	COLR
색인	INDX
생년월일	BRDT
생산	PRDCTN
생산자	PRDCR
생산품	PRDT
생성	CRT
생성자	CREATR
서류	DCMNT
서명	SIGN
서버	SRVR
서브	SUB
서비스	SRVC
서식	TMPLT
서울등록택시	SLRTX
서울열린데이터광장	SOD
서편	WEST
선고	ADJ
선납	PRPY
선로	TRCK
선로시설	LNFCT
선박	VSL
선수금	ADPYR
선수수익	UNRV
선순위	PRORD
선적	SHPG
선정	SLCTN
선주	SHPWN
선지급	ADPY
선택	CHC
선하증권	BL
선호	PRFRC
설계	DESIGN
설계자	DSGNR
설립	FNDN
설명	EXPLN
설문	SRVY
설정	STNG
설치	INSTL
설치수	INSNM
성공	SCS
성과	OUTC
성과지표	PI
성명	FLNM
성별	GNDR
성분	IGRD
성장	GRWTH
세계	TWRLD
세금	TX
세금계산서	TXIV
세대	HH
세대원	FMBR
세대주	HSHLDR
세로	VRTC
세목	TXITM
세무	TXBIZ
세무서	TXOFC
세분류	DCLSF
세션	SESS
세수입	TXRVN
세액	TXAMT
섹션	SCTN
섹터	SECTOR
센서	SNSR
센터	CNTR
센터필드	CNTFD
셀	CELL
소각시설	INCRP
소계	SBTOT
소관	JRSD
소금	SLT
소득	EARN
소득공제	ICMDCT
소득세	INCTX
소득세율	ICTXRT
소량	SMQT
소멸	EXTSH
소멸시효	ETPRSC
소명	VNDC
소모	CNSM
소모품	CSGD
소방대	FIREST
소방서	FRSTN
소분류	SCLSF
소비금액	CNSAM
소비자	CNSMR
소상공인	SBO
소속	OGDP
소송	LWS
소수점	DCPT
소요	REQ
소유	PSN
소유권	OWNSHP
소유자	OWNR
소음	NOISE
소재지	LCTN
소제목	SUBTITLE
소집	CNVC
소프트웨어	SW
소화전	FRPLG
속도	SPD
속성	ATRB
손실	LOSS
손익	PFLS
손해	HRM
송금	RMT
송달	TMTL
송수신	TRRC
수	CNT
수거	CLT
수관	ASCTL
수기	HWRT
수납	RCVMT
수납자	RCPN
수단	MNS
수도료	WTRTS
수동	HOPR
수량	QTY
수령	RCV
수령자	RCPNT
수령지	RCPL
수료	FNSH
수료증	DPLM
수리	RPR
수립	FNDG
수목원	ARBRT
수문	FLDGT
수상	WNAWD
수선	MNDG
수속	ENPR
수송	TRANS
수수료	FEE
수수료율	CMRT
수신	RCPTN
수신자	RCVR
수신처	RCOFC
수요	DMD
수요일	WED
수용	ACTC
수용량	CPCT
수의계약	PVCT
수익률	ERNRT
수익자	BNFR
수입	INCM
수입업체	IMPTR
수입항	POE
수작업	MAN
수정	MDFCN
수정자	MDFR
수종	TRSPC
수집	CLCT
수출	EXP
수취대	BGRC
수취인	ADDRSE
수치	FGR
수탁	TRST
수퍼	SPR
수표	CHECK
수하물	BAG
수하물탑재도어	BULKDOOR
수행	FLFMT
수험	TKEXM
수험자	EXMNE
수혜자	BNFCR
숙박	LDG
순매출	NTSLS
순서	SEQ
순위	RNK
순이익	NETPF
순자산	NAST
숨김	HIDE
스카이스캐너	SKYSC
스키마	SCHM
스킬구분	SKLSPL
슬롯	SLOT
습도	HMDT
승강기	ELVTR
승계	SCSN
승무원	CREW
승선	EMKT
승용	PSNGR
승인	APRV
승인자	AUTZR
승진	PRMT
승차	RIDE
승차정원	RDCPCT
승합	RTGR
시	HOUR
시각	TM
시간	HR
시간대	TMZN
시간수	TIMES
시간외	OVTM
시간차	TMLG
시간흐름	FLWTM
시공	CNST
시공사	CCOM
시공자	BLDR
시군	SIGUN
시군구	SGG
시나리오	SCNR
시도	CTPV
시료	SPCM
시뮬레이션	SMLT
시분	HM
시설	FCLT
시설면적	FCAR
시설물	FCLTY
시스템	SYS
시작	BGNG
시작지점	BGNPT
시장	MRKT
시점	VWPNT
시정	MDOV
시즌	SSON
시행	ENFC
시행자	DVLR
시험	TEST
식별	IDNTF
식별자	IDTF
식사	MEAL
식품	FOOD
신고	DCLR
신고자	DCL
신규	NEW
신용	CRDT
신용장	LC
신용카드	CRCD
신용평가	CRDRTG
신용평가기관	CRBU
신청	APLY
신청자	APLCNT
신체	BDY
신호	SGNL
실거주지	RLRSD
실명	RLNM
실무자	HWKR
실사	ACINSP
실시	ENFRC
실적	PRFMNC
실제	ACTL
실제계류장진입시간	ARIT
실제계류장진출시간	AROT
실제도착이동소요시간	AXIT
실제승객탑승시작시간	ASBT
실제승인대기완료시간	ARDT
실제이륙시간	ATOT
실제제방빙작업시작시간	ADST
실제제방빙작업종료시간	ADET
실제제방빙장진입시간	ADIT
실제제방빙장진출시간	ADOT
실제주기장도착시간	AIBT
실제주기장출발시간	AOBT
실제착륙시간	ALDT
실제출발이동소요시간	AXOT
실제출발허가요청시간	ASRT
실제푸시백승인시간	ASAT
실지급	ACTPY
실태	ACCND
실패	FAIL
실행	EXCN
실효	ACEF
심각도	SVRT
심사	SRNG
심사자	JDG
심의	DLBR
썸네일	THMB
쓰기	WRTE
아웃커브	OCRV
아이디	ID
아이콘	ICON
아파트	APT
악기상	SVWTR
악성	MLGN
안개	FOG
안건	AGND
안내	GUID
안내문	GDNTC
안내방송	ANN
안보	SFGRT
안분	PRDV
안전	SFTY
안전도	SFGRD
알람	ALRM
암호화	ENCPT
압류	SZR
압축	CMPRS
액면가	FVAL
야간	NGHT
야생동물	WANML
약관	TRMS
약국	PMCY
약어	ABBR
약정	STPL
약품	MDCN
양도	CNVYN
양력	SLCL
양성화	LGLZTN
양식	FORM
어댑터	ADPTR
어른	ADLT
어음	PRMNT
언어	LANG
얼라이언스	ALLNC
업로드	ULD
업무	TASK
업종	TPBIZ
업체	BZENTY
업태	BZSTAT
에어사이드	ARSDE
엑셀	EXL
엔진	ENGN
엔진온	ENGON
엔터티	ENTTY
엔티티	ENTY
여객	PSG
여권	PSPRT
여권번호	PNO
여부	YN
여성기업	FOBIZ
여자	FMLE
역률	PWFCT
역심사	RVSRNG
역할	ROLE
연간	ANL
연결	LNKG
연결편	LKFLT
연계	LINK
연구	RSCH
연구비	RSCO
연구원	RSCR
연금	PN
연대	SLDRT
연도	YR
연령	AGE
연료	FUEL
연봉	ANLSL
연산자	OPRTOR
연속	CNTIN
연식	YRIDNW
연월	YM
연장	PRLG
연체	ARG
연체율	DLQRT
연혁	CRNCL
열람	PRSL
열람자	RDR
열차	TRN
영공	ARSPC
영문	ENG
영세	PTTY
영업	SALS
영업비용	OPEXP
영업외비용	NOCO
영업외수익	NOICM
영업점	SLSBR
영역	TRTY
영종소방대	YJFST
영향	AFFC
예고	ANCE
예금	SVG
예금주	DPSTR
예보	FRCST
예비	RSRV
예산	BGT
예상	EST
예상계류장진입시간	ERIT
예상계류장진출시간	EROT
예상도착이동소요시간	EXIT
예상이륙시간	ETOT
예상제방빙장진입시간	EDIT
예상제방빙장진출시간	EDOT
예상주기장도착시간	EIBT
예상주기장출발시간	EOBT
예상착륙시간	ELDT
예상출발이동소요시간	EXOT
예약	RSVT
예약자	BKR
예외	EXCP
예정	PRNMNT
예측	PREDC
오류	ERR
오브젝트	OBJ
오수	WSTWT
오전	AM
오차	EROR
오픈	OPEN
오피넷	OPNT
오후	PSMD
옥내	INDR
옥외	OTDR
온도	TP
온라인	ONLN
옵션	OPT
완납	FLPY
완료	CMPTN
완성	FNL
완제	FLRPY
외교	DPMCY
외국	FRCNY
외국어	FRLAN
외국인	FRGNR
외국인등록번호	FRNO
외래객	OTPTN
외부	OTSD
외빈	FRGST
외식	EATOUT
외자	FRCPTL
외필지	BYLT
외화	FRCNCY
외환	FREXC
요금	CRG
요소	FCTR
요약	SMRY
요양	RCPR
요율	TRF
요인	FACTR
요일	DOW
요주의	ATNT
요청	DMND
요청자	RQSTR
욕실	BTHRM
용도	USG
용도지역	ZNG
용어	TRM
용적률	FART
우등등록택시	HNRTX
우선	PRIR
우선순위	PRIORT
우체국	PSTOFC
우측	RIGHT
우편	MAIL
우편물	PSTMT
우편번호	ZIP
운고	CLDHGT
운송	TRNSP
운수회사	TRSCP
운영	OPER
운영체제	OS
운임	FARE
운전	DRVN
운전면허번호	DLN
운전자	DRVR
운항	FLT
운항계획	FP
운항번호	FLN
운항편	FLTSH
운행	OPR
워크스테이션	WKSTN
원가	PRMCO
원고	PLNTF
원금	PRN
원동기	MOTOR
원본	ORGNL
원산지	PLOR
원소유자	ORGOWN
원인	CS
원장	GNLGR
원천	SOU
원천징수	WTHD
원파일	ORGNFL
원화	KCUR
월	MM
월간	MNTHS
월말	ENMT
월별	MTLY
월세	MRNT
월요일	MON
월일	MTDAY
월초	BTMT
위도	LAT
위반	VLTN
위반자	VLTNPSN
위약금	PNLT
위원	MBCMT
위원장	CHRPR
